ra,dec,x_v,y_v,B_mag,V_mag,R_mag,B-V,V-R,B-V_0,V_0,V-R_0
122.27695758458296,-48.60818452219934,473.1216271220537,61.9055816826828,15.69386089575529,14.61656371766926,14.508772850361648,1.0772971780860292,0.107790867307612,1.0072971780860291,14.39956371766926,0.156790867307612
122.19869575974852,-48.6321256201464,559.6730140651728,61.386113554489505,13.59625224021119,12.516660123731386,12.218381337023535,1.0795921164798037,0.2982787867078507,1.0095921164798036,12.299660123731385,0.3472787867078507
122.67174197233368,-48.485814975040235,34.997159283429724,63.915817966474975,15.261049707070558,14.604786121952191,14.456867112121383,0.6562635851183671,0.147919009830808,0.5862635851183671,14.38778612195219,0.19691900983080798
122.00893282503164,-48.69539139786048,772.7509536973157,67.73620575158066,12.923617379955225,12.271139699158644,12.142075791594054,0.6524776807965811,0.1290639075645892,0.582477680796581,12.054139699158643,0.17806390756458917
122.22215576292017,-48.62979610109359,536.8588906358486,68.19364901618034,13.397112960198571,12.57768335750403,12.356642718642169,0.8194296026945409,0.2210406388618615,0.7494296026945408,12.36068335750403,0.27004063886186147
122.34433364530209,-48.59319243776925,402.2218006824605,70.1536619441436,15.852998010715773,15.059867968256786,15.015617797118558,0.7931300424589871,0.044250171138227,0.723130042458987,14.842867968256785,0.09325017113822698
122.1644029743906,-48.65073866623296,602.8206723504521,72.36025727017801,13.819280141665546,12.978347190370911,12.83512346471377,0.8409329512946346,0.1432237256571404,0.7709329512946346,12.76134719037091,0.19222372565714038
122.42014807506256,-48.5772534610796,323.03467945347273,80.7967425871272,11.547645654480911,10.438520264796953,10.082630682120358,1.1091253896839586,0.3558895826765944,1.0391253896839585,10.221520264796952,0.40488958267659436
122.27089910806907,-48.62006250671957,486.2999007384919,75.63694324592495,15.250252481788884,14.136548973496668,14.19030932987312,1.1137035082922164,-0.0537603563764523,1.0437035082922164,13.919548973496667,-0.004760356376452314
121.95723533307054,-48.71683770119749,833.4589218828156,75.37249500454898,15.073518191223808,14.187959077484717,13.49485596370108,0.8855591137390917,0.6931031137836374,0.8155591137390916,13.970959077484716,0.7421031137836374
